"Y","E1","E2","E3","E4","E5","E6","E7","E8","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30"
9.61830148968439,5.18350720289163,7.17396021587774,7.29871916817501,5.26753887417726,5.37045434582978,7.56158799282275,9.55030217883177,9.53205699333921,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0
9.58871667245941,7.03023061854765,8.45466802944429,7.05634529353119,6.04518121806905,7.17486660461873,5.37264193524607,7.11453147814609,7.58771720924415,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1
9.7700427373502,9.3198526056949,5.59969895868562,5.70659322780557,7.77004846953787,6.43179378821515,8.90433646738529,6.7637813417241,8.26194551191293,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1
9.61268475286175,7.14012699550949,6.54750023968518,8.03825510316528,7.84051070921123,7.52322438289411,7.20321504515596,7.09183346596546,9.92067844839767,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1
10.3368339819427,8.62716237548739,5.85095337824896,6.55600299942307,8.12446967000142,6.61199462367222,8.80625609075651,6.31525718839839,6.33514932356775,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1
11.6788212651704,8.59146391041577,8.94889359362423,7.38177673192695,6.95435278932564,5.73397205676883,8.05215128115378,7.51313088578172,5.84246942424215,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
11.1486786960569,8.49343133857474,9.62340012541972,6.55492111109197,8.20626650121994,7.66996143385768,8.35192247643135,6.26815095893107,7.06512318574823,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0
10.4458121549589,5.33727089408785,9.95982519118115,9.17385980137624,9.09447963465936,6.87025789637119,7.83006066805683,9.61931019090116,5.83000142360106,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
12.509629167583,6.02207831805572,8.05049371556379,9.44398690131493,7.77354945894331,6.95278148981743,9.10624991753139,8.54998661088757,7.99781587673351,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1
10.4796739742963,5.9491480095312,7.86646814784035,5.84064958035015,9.98767068376765,9.60597483674064,9.3335277994629,7.6585531141609,6.48122847313061,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
9.77922972263394,5.40846676914953,7.09477647673339,8.6719339620322,8.63465681788512,8.32917461753823,7.54005242721178,5.32483622431755,8.7273169355467,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1
8.71011023574121,5.08938122889958,5.9160485654138,9.73176752449945,9.19766992214136,7.02905331039801,9.7252667718567,6.31322114961222,5.97670675837435,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0
10.62563611356,5.31714851153083,9.9054116406478,7.10035470547155,8.24543487979099,6.36614028015174,6.72983669210225,7.65909555135295,7.23957154317759,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
9.2107046002277,6.98484833119437,7.85014468245208,7.81639612978324,7.46936385054141,7.83177436329424,6.51293308474123,9.12154430756345,8.14144663861953,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
